Bedroom,Bathroom,Property Size,# of Floors,Total Units,Parking Lot,Property Age,Tenure Type Encoded,Property Type Encoded,Land Title Encoded,Transit Zone,Facility Count,Facility Tier,State_Kedah,State_Kelantan,State_Kuala Lumpur,State_Melaka,State_Negeri Sembilan,State_Other,State_Pahang,State_Penang,State_Perak,State_Putrajaya,State_Sabah,State_Sarawak,State_Selangor,State_Terengganu,price
3.0,2.0,1200.0,20.0,771.0,2.0,10.0,1,1,2,0,6,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,555000.0
3.0,2.0,900.0,20.0,462.0,1.0,12.0,1,0,2,0,7,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,290000.0
3.0,2.0,1021.0,14.0,462.0,1.0,12.0,1,1,2,1,2,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,339000.0
3.0,2.0,810.0,20.0,1.0,1.0,19.0,1,1,2,1,4,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,288000.0
3.0,2.0,1046.0,20.0,462.0,1.0,12.0,0,1,2,1,7,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,220000.0
3.0,3.0,1045.0,20.0,462.0,1.0,12.0,0,1,2,1,10,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,560000.0
3.0,2.0,700.0,30.0,500.0,1.0,14.0,1,0,2,0,8,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,380000.0
3.0,2.0,700.0,30.0,500.0,1.0,14.0,1,0,2,0,8,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,340000.0
3.0,2.0,900.0,42.0,2685.0,2.0,7.0,1,1,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,400000.0
3.0,2.0,700.0,30.0,500.0,1.0,14.0,1,0,2,0,8,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,350000.0
3.0,2.0,750.0,35.0,462.0,1.0,28.0,1,1,2,0,6,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,250000.0
3.0,2.0,650.0,20.0,462.0,1.0,12.0,1,3,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,260000.0
